X: -10.209925651550293, Y: 13.263053894042969
X: -10.734029769897461, Y: 13.257657051086426
X: -11.266279220581055, Y: 13.252056121826172
X: -11.807269096374512, Y: 13.246280670166016
X: -12.357288360595703, Y: 13.240361213684082
X: -12.916452407836914, Y: 13.234315872192383
X: -13.484797477722168, Y: 13.228157997131348
X: -14.062297821044922, Y: 13.221893310546875
X: -14.648908615112305, Y: 13.21552562713623
X: -15.24456787109375, Y: 13.209059715270996
X: -15.849199295043945, Y: 13.202495574951172
X: -16.462732315063477, Y: 13.195837020874023
X: -17.085086822509766, Y: 13.189080238342285
X: -17.716190338134766, Y: 13.182229995727539
X: -18.3559627532959, Y: 13.175284385681152
X: -19.002538681030273, Y: 13.168262481689453
X: -19.644817352294922, Y: 13.16128921508789
X: -20.273929595947266, Y: 13.154460906982422
X: -20.885684967041016, Y: 13.147822380065918
X: -21.478174209594727, Y: 13.141388893127441
